num_topics: 5, alpha: 0.1, eta: 0.1, 일 때 coherence: 0.4404844279087463, perplexity: -9.124165294134027
num_topics: 5, alpha: 0.1, eta: 0.3, 일 때 coherence: 0.4818945417645309, perplexity: -8.053563146680515
num_topics: 5, alpha: 0.1, eta: 0.5, 일 때 coherence: 0.48571954529292627, perplexity: -8.080920715610432
num_topics: 5, alpha: 0.1, eta: 0.7, 일 때 coherence: 0.49459737012999805, perplexity: -8.116543501813668
num_topics: 5, alpha: 0.1, eta: 0.9, 일 때 coherence: 0.5054164368889391, perplexity: -8.154980476507063
num_topics: 5, alpha: 0.3, eta: 0.1, 일 때 coherence: 0.4531283410564407, perplexity: -9.100500518679883
num_topics: 5, alpha: 0.3, eta: 0.3, 일 때 coherence: 0.4896451325939822, perplexity: -8.058787527846683
num_topics: 5, alpha: 0.3, eta: 0.5, 일 때 coherence: 0.48571954529292627, perplexity: -8.087775187975906
num_topics: 5, alpha: 0.3, eta: 0.7, 일 때 coherence: 0.48865047438494474, perplexity: -8.123384754501497
num_topics: 5, alpha: 0.3, eta: 0.9, 일 때 coherence: 0.5054164368889391, perplexity: -8.162364792741373
num_topics: 5, alpha: 0.5, eta: 0.1, 일 때 coherence: 0.45023009305197387, perplexity: -9.046745410314195
num_topics: 5, alpha: 0.5, eta: 0.3, 일 때 coherence: 0.4881231455391216, perplexity: -8.064460160599833
num_topics: 5, alpha: 0.5, eta: 0.5, 일 때 coherence: 0.49004024975623306, perplexity: -8.093507689777823
num_topics: 5, alpha: 0.5, eta: 0.7, 일 때 coherence: 0.4816712724753772, perplexity: -8.129451365335212
num_topics: 5, alpha: 0.5, eta: 0.9, 일 때 coherence: 0.5069813385864717, perplexity: -8.168850957206356
num_topics: 5, alpha: 0.7, eta: 0.1, 일 때 coherence: 0.44266443788624477, perplexity: -9.023787074190201
num_topics: 5, alpha: 0.7, eta: 0.3, 일 때 coherence: 0.45793465495374297, perplexity: -8.074148423952051
num_topics: 5, alpha: 0.7, eta: 0.5, 일 때 coherence: 0.4905765122794888, perplexity: -8.098841895739442
